Sno,Question,Option,Option,Option,Option,Answer,Options
1,"For seeing objects at the surface of water from a submarine under water, the instrument used is",kaleidoscope,periscope,spectroscope,telescope,periscope,"kaleidoscope,periscope,spectroscope,telescope"
2,"Eritrea, which became the 182nd member of the UN in 1993, is in the continent of",Asia,Africa,Europe,Australia,Africa,"Asia,Africa,Europe,Australia"
3,Epsom (England) is the place associated with,Horse racing,Polo,Shooting,Snooker,Horse racing,"Horse racing,Polo,Shooting,Snooker"
4,Exposure to sunlight helps a person improve his health because,the infrared light kills bacteria in the body,resistance power increases,the pigment cells in the skin get stimulated and produce a healthy tan,the ultraviolet rays convert skin oil into Vitamin D,the ultraviolet rays convert skin oil into Vitamin D,"the infrared light kills bacteria in the body,resistance power increases,the pigment cells in the skin get stimulated and produce a healthy tan,the ultraviolet rays convert skin oil into Vitamin D"
5,First China War was fought between,China and Britain,China and France,China and Egypt,China and Greek,China and Britain,"China and Britain,China and France,China and Egypt,China and Greek"
6,Which system of government is also known as Westminster model of government?,Presidential system ,Monarchy,Parliamentary system ,Oligarchy,Parliamentary system ,"Presidential system ,Monarchy,Parliamentary system ,Oligarchy"
7,Who is the father of Geometry?,Aristotle,Euclid,Pythagoras,Kepler,Euclid,"Aristotle,Euclid,Pythagoras,Kepler"
8,Which of the following countries is not a member of Group 15 developing countries?,Mexico,Malaysia,Brazil,Bolivia,Bolivia,"Mexico,Malaysia,Brazil,Bolivia"
9,India won its first Olympic hockey gold in...?,1928,1932,1936,1948,1928,"1928,1932,1936,1948"
10,Which of the following is a non metal that remains liquid at room temperature?,Phosphorous,Bromine,Chlorine,Helium,Bromine,"Phosphorous,Bromine,Chlorine,Helium"
